id,Gender,age_group,Customer_Type,Type_of_Travel,Class,Flight_Distance,Departure_Delay,Arrival_Delay
40181,M,60+,Loyal,B,Business,387,0,0
77039,F,0~9,Loyal,P,"Eco Plus",368,0,0
53655,M,50~59,Loyal,B,Business,3716,15,6
61362,F,20~29,Loyal,B,Business,2405,0,8
33269,M,40~49,Loyal,P,"Eco Plus",101,3,4
81427,F,40~49,Loyal,B,Eco,448,0,0
105475,F,40~49,Loyal,B,Business,3336,0,0
24917,M,20~29,disloyal,B,Eco,762,1,0
38328,F,10~19,Loyal,B,Business,2094,0,0
101554,M,10~19,Loyal,P,Eco,345,0,0
6825,M,50~59,Loyal,P,Eco,122,59,60
70492,F,60+,Loyal,B,Business,3502,8,27
7039,F,50~59,disloyal,B,"Eco Plus",196,1,6
101371,M,0~9,Loyal,P,Eco,1986,9,0
84332,F,60+,Loyal,B,Business,3380,0,0
37744,M,30~39,Loyal,P,Eco,972,29,14
61381,M,20~29,disloyal,B,Eco,679,13,13
77926,M,10~19,Loyal,P,Business,214,0,16
33509,M,60+,Loyal,P,Eco,965,3,0
93270,M,20~29,disloyal,B,Business,867,22,8
121347,F,40~49,Loyal,B,Business,3934,4,0
108684,F,50~59,Loyal,B,Business,577,0,0
124925,F,20~29,disloyal,B,Eco,728,17,19
125236,M,40~49,Loyal,B,Business,3869,0,0
101314,M,20~29,disloyal,B,Business,1076,0,0
121287,M,20~29,Loyal,B,Business,2282,3,0
79510,M,50~59,Loyal,B,Business,3079,0,0
15510,M,50~59,Loyal,P,Eco,164,0,0
129182,F,40~49,Loyal,B,Business,2288,5,0
1225,F,60+,Loyal,P,Eco,229,0,0
35147,F,20~29,disloyal,B,Eco,1102,3,7
14724,M,40~49,disloyal,B,"Eco Plus",317,56,44
101380,M,50~59,Loyal,B,Business,1647,9,6
112213,M,30~39,Loyal,B,Business,3470,21,10
14196,M,20~29,disloyal,B,Eco,620,0,0
110528,M,20~29,disloyal,B,Business,551,0,0
114028,M,40~49,Loyal,P,"Eco Plus",1844,52,30
56221,M,10~19,Loyal,B,Business,1608,0,0
58819,F,40~49,Loyal,P,Eco,1005,9,0
54019,F,40~49,Loyal,B,Business,3818,0,0
25065,M,60+,Loyal,P,Eco,594,32,29
29957,M,50~59,disloyal,B,Business,213,0,0
90753,M,20~29,Loyal,B,Business,2802,9,9
22557,F,30~39,disloyal,B,Business,223,1,0
122081,M,10~19,Loyal,P,Eco,130,14,9
71697,M,60+,Loyal,P,Eco,1197,113,132
78572,F,20~29,disloyal,B,Eco,630,0,0
60201,M,20~29,Loyal,B,Business,1546,0,0
46022,F,60+,Loyal,B,Eco,991,0,0
35220,F,40~49,Loyal,B,Eco,1074,0,0
83770,M,20~29,Loyal,P,Eco,926,299,313
2364,F,30~39,disloyal,B,Eco,925,0,20
32574,F,50~59,Loyal,B,Eco,101,0,0
45415,F,20~29,Loyal,B,Business,3204,0,8
4502,F,40~49,Loyal,B,Business,435,0,0
83245,F,50~59,Loyal,B,Eco,1979,7,15
32406,F,20~29,disloyal,B,Eco,163,0,0
34410,M,50~59,Loyal,P,Eco,728,5,0
70762,M,50~59,Loyal,B,Business,1795,60,55
21748,F,50~59,Loyal,P,Eco,563,3,0
63137,M,40~49,Loyal,B,Business,3381,14,15
1629,M,10~19,disloyal,B,Eco,999,7,21
127813,F,30~39,Loyal,B,Business,1582,0,0
10512,F,20~29,disloyal,B,Eco,74,0,4
16504,M,10~19,Loyal,P,Eco,246,46,30
71605,M,30~39,Loyal,B,Business,1844,10,5
124227,F,30~39,disloyal,B,Business,1423,0,0
127589,M,20~29,disloyal,B,Business,1074,0,0
17566,F,10~19,disloyal,B,Eco,1097,7,0
85206,F,50~59,Loyal,B,Business,3097,0,0
882,M,40~49,Loyal,B,Business,3474,0,0
4311,F,20~29,disloyal,B,Eco,184,0,15
7416,M,20~29,Loyal,B,Business,1906,10,37
2454,F,20~29,Loyal,P,Business,674,6,4
69770,M,30~39,Loyal,B,Business,2454,14,5
33692,F,20~29,disloyal,B,Eco,805,9,4
76492,F,30~39,disloyal,B,Business,481,0,3
103013,M,20~29,disloyal,B,Eco,687,0,0
90096,M,60+,Loyal,B,Business,3088,0,0
98667,F,40~49,Loyal,P,Eco,920,0,0
78611,F,20~29,disloyal,B,Eco,1272,0,0
71238,F,50~59,Loyal,B,Business,1656,11,29
129027,F,20~29,Loyal,B,Business,2611,0,0
3697,F,30~39,Loyal,B,Business,3802,0,8
67848,M,0~9,Loyal,P,Eco,1464,0,3
27159,F,40~49,Loyal,B,Business,2701,0,0
